Name,Oui,Oui pc,Non,Non pc,Valid,Valid pc,Rejected,Rejected_pc,V,V pc,N,Oui majority,Non majority
Brome-Missisquoi,13 376,"38,32",21 530,"61,68",34 906,"98,62",488,"1,38",35 394,"93,91",37 691,,8 154
Chambly,25 363,"54,95",20 793,"45,05",46 156,"98,38",762,"1,62",46 918,"96,16",48 794,4 570,
Champlain,24 534,"60,58",15 967,"39,42",40 501,"98,75",512,"1,25",41 013,"93,66",43 788,8 567,
Chapleau,14 354,"27,53",37 788,"72,47",52 142,"98,32",890,"1,68",53 032,"93,65",56 629,,23 434
Charlesbourg,23 343,"53,20",20 535,"46,80",43 878,"98,32",750,"1,68",44 628,"94,79",47 083,2 808,
Charlevoix,15 702,"56,64",12 019,"43,36",27 721,"98,63",386,"1,37",28 107,"90,53",31 047,3 683,
Châteauguay,18 481,"47,48",20 443,"52,52",38 924,"98,92",423,"1,08",39 347,"95,57",41 172,,1 962
Chauveau,28 574,"54,50",23 855,"45,50",52 429,"97,96",1 091,"2,04",53 520,"93,59",57 187,4 719,
Chicoutimi,29 305,"68,87",13 245,"31,13",42 550,"99,15",364,"0,85",42 914,"92,64",46 325,16 060,
Chomedey,11 311,"27,38",29 998,"72,62",41 309,"88,39",5 426,"11,61",46 735,"94,81",49 292,,18 687
Chutes-de-la-Chaudière,29 456,"60,06",19 587,"39,94",49 043,"98,93",531,"1,07",49 574,"94,56",52 427,9 869,
Crémazie,17 120,"48,55",18 141,"51,45",35 261,"97,74",815,"2,26",36 076,"94,57",38 149,,1 021
D'Arcy-McGee,1 401,"3,62",37 253,"96,38",38 654,"98,11",743,"1,89",39 397,"94,50",41 690,,35 852
Deux-Montagnes,29 831,"58,94",20 780,"41,06",50 611,"97,93",1 070,"2,07",51 681,"94,80",54 513,9 051,
Drummond,24 866,"57,65",18 267,"42,35",43 133,"98,30",748,"1,70",43 881,"92,79",47 292,6 599,
Dubuc,22 850,"70,30",9 653,"29,70",32 503,"98,96",340,"1,04",32 843,"92,61",35 463,13 197,
Duplessis,20 781,"62,78",12 322,"37,22",33 103,"98,90",368,"1,10",33 471,"90,20",37 107,8 459,
Fabre,23 651,"51,42",22 341,"48,58",45 992,"98,07",905,"1,93",46 897,"96,07",48 813,1 310,
Frontenac,17 041,"53,02",15 102,"46,98",32 143,"99,01",323,"0,99",32 466,"93,51",34 719,1 939,
Gaspé,15 186,"58,50",10 771,"41,50",25 957,"98,44",411,"1,56",26 368,"89,64",29 414,4 415,
Gatineau,10 774,"29,90",25 254,"70,10",36 028,"99,04",350,"0,96",36 378,"93,40",38 948,,14 480
Gouin,21 854,"57,77",15 977,"42,23",37 831,"97,92",805,"2,08",38 636,"92,21",41 901,5 877,
Groulx,22 133,"56,73",16 879,"43,27",39 012,"98,03",786,"1,97",39 798,"95,20",41 806,5 254,
Hochelaga-Maisonneuve,18 522,"65,49",9 759,"34,51",28 281,"97,71",663,"2,29",28 944,"90,79",31 881,8 763,
Hull,12 394,"30,27",28 553,"69,73",40 947,"98,18",760,"1,82",41 707,"92,72",44 984,,16 159
Iberville,23 400,"56,28",18 178,"43,72",41 578,"97,90",892,"2,10",42 470,"93,90",45 229,5 222,
Îles-de-la-Madeleine,5 478,"58,13",3 946,"41,87",9 424,"98,61",133,"1,39",9 557,"91,76",10 415,1 532,
Jacques-Cartier,4 016,"8,98",40 689,"91,02",44 705,"99,09",409,"0,91",45 114,"95,84",47 072,,36 673
Jeanne-Mance,8 654,"24,69",26 395,"75,31",35 049,"97,99",718,"2,01",35 767,"94,62",37 801,,17 741
Jean-Talon,14 921,"48,01",16 159,"51,99",31 080,"98,43",496,"1,57",31 576,"95,01",33 233,,1 238
Johnson,17 507,"54,41",14 672,"45,59",32 179,"98,36",538,"1,64",32 717,"93,22",35 096,2 835,
Joliette,25 099,"63,88",14 190,"36,12",39 289,"98,08",771,"1,92",40 060,"93,60",42 797,10 909,
Jonquière,28 385,"71,02",11 584,"28,98",39 969,"98,27",705,"1,73",40 674,"93,62",43 444,16 801,
Kamouraska-Témiscouata,15 632,"52,66",14 055,"47,34",29 687,"98,50",451,"1,50",30 138,"88,47",34 066,1 577,
Labelle,21 178,"64,44",11 687,"35,56",32 865,"98,47",511,"1,53",33 376,"91,52",36 470,9 491,
Lac-Saint-Jean,25 857,"73,06",9 534,"26,94",35 391,"99,02",352,"0,98",35 743,"93,03",38 420,16 323,
LaFontaine,17 780,"40,27",26 373,"59,73",44 153,"98,29",766,"1,71",44 919,"94,36",47 606,,8 593
La Peltrie,26 426,"54,75",21 844,"45,25",48 270,"98,27",851,"1,73",49 121,"95,59",51 387,4 582,
La Pinière,13 996,"33,12",28 261,"66,88",42 257,"99,11",380,"0,89",42 637,"95,38",44 702,,14 265
Laporte,17 447,"40,97",25 140,"59,03",42 587,"98,17",795,"1,83",43 382,"94,87",45 729,,7 693
La Prairie,29 947,"60,05",19 919,"39,95",49 866,"98,60",709,"1,40",50 575,"95,65",52 873,10 028,
L'Assomption,29 095,"63,65",16 614,"36,35",45 709,"98,92",498,"1,08",46 207,"95,60",48 336,12 481,
Laurier-Dorion,15 372,"37,22",25 924,"62,78",41 296,"96,40",1 540,"3,60",42 836,"94,00",45 569,,10 552
Laval-des-Rapides,19 057,"52,65",17 142,"47,35",36 199,"97,96",755,"2,04",36 954,"94,46",39 120,1 915,
Laviolette,17 177,"56,75",13 093,"43,25",30 270,"98,26",537,"1,74",30 807,"92,13",33 439,4 084,
Lévis,19 917,"56,54",15 311,"43,46",35 228,"98,21",641,"1,79",35 869,"93,96",38 175,4 606,
Limoilou,21 109,"51,90",19 566,"48,10",40 675,"97,89",878,"2,11",41 553,"91,71",45 311,1 543,
Lotbinière,13 263,"50,10",13 209,"49,90",26 472,"98,36",441,"1,64",26 913,"92,89",28 974,54,
Louis-Hébert,20 292,"53,01",17 990,"46,99",38 282,"98,89",431,"1,11",38 713,"94,28",41 061,2 302,
Marguerite-Bourgeoys,10 339,"27,44",27 335,"72,56",37 674,"94,50",2 194,"5,50",39 868,"95,63",41 691,,16 996
Marguerite-D'Youville,23 778,"59,01",16 520,"40,99",40 298,"98,31",693,"1,69",40 991,"96,52",42 469,7 258,
Marie-Victorin,22 731,"60,54",14 814,"39,46",37 545,"97,06",1 137,"2,94",38 682,"93,14",41 530,7 917,
Marquette,13 628,"38,54",21 729,"61,46",35 357,"98,65",483,"1,35",35 840,"94,63",37 872,,8 101
Maskinongé,22 502,"57,07",16 925,"42,93",39 427,"98,33",668,"1,67",40 095,"92,77",43 220,5 577,
Masson,28 636,"71,02",11 683,"28,98",40 319,"98,02",813,"1,98",41 132,"94,93",43 331,16 953,
Matane,15 611,"62,46",9 381,"37,54",24 992,"98,69",333,"1,31",25 325,"89,44",28 314,6 230,
Matapédia,17 292,"64,30",9 600,"35,70",26 892,"98,65",368,"1,35",27 260,"89,93",30 312,7 692,
Mégantic-Compton,13 042,"47,29",14 535,"52,71",27 577,"98,60",391,"1,40",27 968,"92,09",30 369,,1 493
Mercier,24 688,"62,77",14 644,"37,23",39 332,"98,17",735,"1,83",40 067,"94,06",42 596,10 044,
Mille-Îles,22 660,"51,64",21 220,"48,36",43 880,"98,13",835,"1,87",44 715,"95,54",46 800,1 440,
Montmagny-L'Islet,12 360,"44,89",15 173,"55,11",27 533,"98,00",563,"2,00",28 096,"88,31",31 816,,2 813
Montmorency,28 360,"57,56",20 914,"42,44",49 274,"98,54",728,"1,46",50 002,"93,76",53 331,7 446,
Mont-Royal,5 030,"13,46",32 333,"86,54",37 363,"97,67",891,"2,33",38 254,"93,77",40 794,,27 303
Nelligan,9 443,"18,18",42 494,"81,82",51 937,"98,53",775,"1,47",52 712,"95,79",55 030,,33 051
Nicolet-Yamaska,17 022,"56,50",13 103,"43,50",30 125,"98,44",477,"1,56",30 602,"93,57",32 705,3 919,
Notre-Dame-de-Grâce,4 855,"13,43",31 306,"86,57",36 161,"97,62",880,"2,38",37 041,"95,07",38 962,,26 451
Orford,20 773,"47,31",23 132,"52,69",43 905,"98,49",672,"1,51",44 577,"93,98",47 430,,2 359
Outremont,13 428,"34,39",25 619,"65,61",39 047,"98,31",670,"1,69",39 717,"93,65",42 408,,12 191
Papineau,12 371,"36,51",21 517,"63,49",33 888,"99,17",282,"0,83",34 170,"93,48",36 555,,9 146
Pointe-aux-Trembles,21 425,"60,88",13 768,"39,12",35 193,"98,46",549,"1,54",35 742,"94,23",37 929,7 657,
Pontiac,4 485,"12,77",30 632,"87,23",35 117,"98,75",444,"1,25",35 561,"95,47",37 247,,26 147
Portneuf,19 303,"54,32",16 235,"45,68",35 538,"98,02",717,"1,98",36 255,"92,66",39 129,3 068,
Prévost,26 180,"62,91",15 432,"37,09",41 612,"97,95",870,"2,05",42 482,"92,74",45 809,10 748,
Richelieu,22 490,"62,32",13 597,"37,68",36 087,"98,22",653,"1,78",36 740,"93,26",39 395,8 893,
Richmond,15 719,"53,15",13 856,"46,85",29 575,"98,82",352,"1,18",29 927,"93,57",31 984,1 863,
Rimouski,22 289,"63,73",12 684,"36,27",34 973,"99,21",280,"0,79",35 253,"90,98",38 748,9 605,
Rivière-du-Loup,14 561,"54,59",12 114,"45,41",26 675,"98,52",401,"1,48",27 076,"90,62",29 879,2 447,
Robert-Baldwin,4 410,"10,17",38 956,"89,83",43 366,"98,89",488,"1,11",43 854,"95,48",45 929,,34 546
Roberval,25 194,"65,21",13 441,"34,79",38 635,"99,22",305,"0,78",38 940,"91,30",42 650,11 753,
Rosemont,18 723,"53,59",16 213,"46,41",34 936,"97,90",751,"2,10",35 687,"93,31",38 244,2 510,
Rousseau,24 237,"63,92",13 679,"36,08",37 916,"98,36",634,"1,64",38 550,"92,09",41 861,10 558,
Rouyn-Noranda—Témiscamingue,20 553,"54,37",17 250,"45,63",37 803,"98,66",512,"1,34",38 315,"91,84",41 718,3 303,
Saguenay,23 067,"73,33",8 389,"26,67",31 456,"98,10",608,"1,90",32 064,"90,34",35 493,14 678,
Saint-François,19 314,"50,16",19 193,"49,84",38 507,"98,03",773,"1,97",39 280,"93,21",42 140,121,
Saint-Henri—Sainte-Anne,17 097,"46,87",19 380,"53,13",36 477,"97,56",912,"2,44",37 389,"92,60",40 379,,2 283
Saint-Hyacinthe,22 952,"55,30",18 552,"44,70",41 504,"98,40",676,"1,60",42 180,"93,35",45 183,4 400,
Saint-Jean,25 554,"56,14",19 967,"43,86",45 521,"98,17",847,"1,83",46 368,"94,65",48 991,5 587,
Saint-Laurent,7 214,"17,15",34 856,"82,85",42 070,"97,76",965,"2,24",43 035,"94,50",45 542,,27 642
Sainte-Marie—Saint-Jacques,23 879,"58,65",16 838,"41,35",40 717,"97,63",987,"2,37",41 704,"90,73",45 963,7 041,
Saint-Maurice,17 779,"55,99",13 973,"44,01",31 752,"98,03",639,"1,97",32 391,"93,42",34 674,3 806,
Salaberry-Soulanges,26 068,"57,06",19 614,"42,94",45 682,"98,05",908,"1,95",46 590,"94,27",49 423,6 454,
Sauvé,11 870,"40,61",17 358,"59,39",29 228,"97,64",706,"2,36",29 934,"92,45",32 379,,5 488
Shefford,23 986,"52,41",21 782,"47,59",45 768,"98,20",837,"1,80",46 605,"93,21",49 998,2 204,
Sherbrooke,19 826,"53,28",17 384,"46,72",37 210,"98,19",684,"1,81",37 894,"93,77",40 413,2 442,
Taillon,28 604,"60,91",18 360,"39,09",46 964,"98,17",877,"1,83",47 841,"94,24",50 766,10 244,
Taschereau,17 358,"59,05",12 038,"40,95",29 396,"98,32",502,"1,68",29 898,"91,46",32 688,5 320,
Terrebonne,26 046,"67,30",12 655,"32,70",38 701,"97,90",830,"2,10",39 531,"95,01",41 606,13 391,
Trois-Rivières,19 328,"55,64",15 411,"44,36",34 739,"97,92",737,"2,08",35 476,"92,94",38 171,3 917,
Ungava,9 187,"46,91",10 396,"53,09",19 583,"98,40",318,"1,60",19 901,"84,64",23 512,,1 209
Vachon,21 374,"56,76",16 284,"43,24",37 658,"97,73",873,"2,27",38 531,"95,22",40 467,5 090,
Vanier,25 119,"55,24",20 353,"44,76",45 472,"98,18",843,"1,82",46 315,"93,56",49 502,4 766,
Vaudreuil,18 856,"39,23",29 204,"60,77",48 060,"98,71",628,"1,29",48 688,"95,69",50 883,,10 348
Verchères,22 483,"66,87",11 138,"33,13",33 621,"97,97",698,"2,03",34 319,"94,82",36 193,11 345,
Verdun,16 269,"40,34",24 062,"59,66",40 331,"98,32",689,"1,68",41 020,"93,54",43 851,,7 793
Viau,10 746,"31,20",23 701,"68,80",34 447,"98,06",680,"1,94",35 127,"93,01",37 768,,12 955
Viger,10 982,"32,12",23 209,"67,88",34 191,"98,10",663,"1,90",34 854,"94,89",36 731,,12 227
Vimont,24 548,"50,01",24 542,"49,99",49 090,"98,31",842,"1,69",49 932,"95,85",52 092,6,
Westmount—Saint-Louis,6 880,"15,23",38 295,"84,77",45 175,"98,38",746,"1,62",45 921,"91,55",50 161,,31 415
