Name,Oui,Oui pc,Non,Non pc,Valid,Valid pc,Rejected,Rejected_pc,V,V pc,N,Oui majority,Non majority
Pontiac-Témiscamingue,5 591,"25,34",16 476,"74,66",22 067,"98,14",419,"1,86",22 486,"83,04",27 079,,10 885
Portneuf,11 179,"41,66",15 658,"58,34",26 837,"98,63",372,"1,37",27 209,"86,67",31 395,,4 479
Prévost,21 177,"45,13",25 749,"54,87",46 926,"98,33",796,"1,67",47 722,"85,69",55 693,,4 572
Richelieu,15 559,"48,60",16 455,"51,40",32 014,"98,84",376,"1,16",32 390,"87,05",37 210,,896
Richmond,8 393,"40,42",12 371,"59,58",20 764,"99,02",205,"0,98",20 969,"86,42",24 263,,3 978
Rimouski,16 799,"53,15",14 805,"46,85",31 604,"98,71",412,"1,29",32 016,"84,81",37 752,1 994,
Rivière-du-Loup,11 065,"43,36",14 452,"56,64",25 517,"98,37",424,"1,63",25 941,"82,56",31 422,,3 387
Robert Baldwin,9 170,"18,66",39 977,"81,34",49 147,"98,35",826,"1,65",49 973,"89,73",55 694,,30 807
Roberval,16 088,"50,65",15 672,"49,35",31 760,"98,92",346,"1,08",32 106,"82,76",38 792,416,
Rosemont,13 716,"44,79",16 907,"55,21",30 623,"97,82",684,"2,18",31 307,"85,62",36 565,,3 191
Rouyn-Noranda,11 095,"44,19",14 015,"55,81",25 110,"98,56",366,"1,44",25 476,"82,51",30 878,,2 920
Saguenay,14 032,"61,91",8 634,"38,09",22 666,"98,98",234,"1,02",22 900,"78,27",29 257,5 398,
Sainte-Anne,7 706,"30,58",17 497,"69,42",25 203,"96,87",815,"3,13",26 018,"77,88",33 409,,9 791
Saint-François,12 513,"41,86",17 377,"58,14",29 890,"98,44",473,"1,56",30 363,"85,36",35 570,,4 864
Saint-Henri,11 547,"38,38",18 541,"61,62",30 088,"97,62",732,"2,38",30 820,"84,73",36 376,,6 994
Saint-Hyacinthe,12 453,"39,77",18 863,"60,23",31 316,"97,41",834,"2,59",32 150,"86,26",37 271,,6 410
Saint-Jacques,11 392,"54,89",9 364,"45,11",20 756,"97,44",546,"2,56",21 302,"75,30",28 289,2 028,
Saint-Jean,13 617,"38,92",21 373,"61,08",34 990,"98,49",535,"1,51",35 525,"87,27",40 709,,7 756
Saint-Laurent,7 920,"21,69",28 588,"78,31",36 508,"97,85",801,"2,15",37 309,"87,58",42 598,,20 668
Saint-Louis,7 678,"28,68",19 091,"71,32",26 769,"97,80",601,"2,20",27 370,"73,85",37 061,,11 413
Sainte-Marie,11 722,"50,52",11 481,"49,48",23 203,"97,21",666,"2,79",23 869,"78,03",30 589,241,
Saint-Maurice,12 929,"45,63",15 408,"54,37",28 337,"96,87",915,"3,13",29 252,"86,36",33 874,,2 479
Sauvé,18 982,"45,11",23 096,"54,89",42 078,"97,93",890,"2,07",42 968,"85,16",50 454,,4 114
Shefford,11 539,"34,54",21 871,"65,46",33 410,"97,16",977,"2,84",34 387,"87,98",39 085,,10 332
Sherbrooke,12 960,"43,20",17 040,"56,80",30 000,"98,53",448,"1,47",30 448,"83,98",36 257,,4 080
Taillon,31 997,"50,99",30 752,"49,01",62 749,"98,06",1 240,"1,94",63 989,"84,34",75 871,1 245,
Taschereau,9 438,"46,92",10 677,"53,08",20 115,"95,74",896,"4,26",21 011,"78,58",26 737,,1 239
Terrebonne,23 417,"47,12",26 282,"52,88",49 699,"98,76",626,"1,24",50 325,"88,72",56 723,,2 865
Trois-Rivières,12 995,"40,95",18 736,"59,05",31 731,"98,38",522,"1,62",32 253,"84,33",38 244,,5 741
Vanier,16 682,"49,55",16 983,"50,45",33 665,"98,34",569,"1,66",34 234,"84,31",40 606,,301
Vaudreuil-Soulanges,13 423,"35,82",24 055,"64,18",37 478,"98,34",631,"1,66",38 109,"89,32",42 665,,10 632
Verchères,19 750,"48,22",21 207,"51,78",40 957,"98,39",670,"1,61",41 627,"88,76",46 896,,1 457
Verdun,9 446,"31,09",20 938,"68,91",30 384,"98,12",581,"1,88",30 965,"87,52",35 381,,11 492
Viau,10 800,"34,08",20 890,"65,92",31 690,"97,11",942,"2,89",32 632,"85,08",38 355,,10 090
Westmount,4 374,"13,14",28 908,"86,86",33 282,"98,78",410,"1,22",33 692,"87,98",38 293,,24 534
