Name,Oui,Oui pc,Non,Non pc,Valid,Valid pc,Rejected,Rejected_pc,V,V pc,N,Oui majority,Non majority
Champlain,12 725,"36,14",22 488,"63,86",35 213,"97,91",750,"2,09",35 963,"84,37",42 623,,9 763
Chapleau,23 968,"58,29",17 153,"41,71",41 121,"97,79",928,"2,21",42 049,"77,97",53 932,6 815,
Charlesbourg,14 057,"36,21",24 766,"63,79",38 823,"97,95",814,"2,05",39 637,"85,78",46 208,,10 709
Charlevoix,8 849,"38,05",14 407,"61,95",23 256,"98,09",452,"1,91",23 708,"78,37",30 252,,5 558
Châteauguay,15 002,"44,24",18 908,"55,76",33 910,"98,44",538,"1,56",34 448,"87,49",39 374,,3 906
Chauveau,15 028,"32,91",30 629,"67,09",45 657,"97,48",1 178,"2,52",46 835,"83,63",56 003,,15 601
Chicoutimi,9 423,"25,57",27 429,"74,43",36 852,"99,08",342,"0,92",37 194,"82,52",45 074,,18 006
Chomedey,26 209,"67,30",12 736,"32,70",38 945,"98,49",597,"1,51",39 542,"84,25",46 933,13 473,
Crémazie,14 173,"44,53",17 656,"55,47",31 829,"97,78",723,"2,22",32 552,"85,71",37 978,,3 483
D'Arcy-McGee,28 552,"92,21",2 412,"7,79",30 964,"99,28",224,"0,72",31 188,"86,94",35 872,26 140,
Deux-Montagnes,13 943,"34,05",27 004,"65,95",40 947,"97,39",1 097,"2,61",42 044,"84,03",50 037,,13 061
Dorion,10 935,"43,98",13 929,"56,02",24 864,"98,02",503,"1,98",25 367,"83,24",30 475,,2 994
Drummond,12 801,"36,38",22 387,"63,62",35 188,"97,80",792,"2,20",35 980,"82,29",43 726,,9 586
Dubuc,6 749,"25,03",20 211,"74,97",26 960,"96,31",1 033,"3,69",27 993,"82,80",33 808,,13 462
Duplessis,8 888,"32,14",18 762,"67,86",27 650,"98,38",455,"1,62",28 105,"76,45",36 761,,9 874
Fabre,15 631,"40,45",23 014,"59,55",38 645,"97,80",871,"2,20",39 516,"87,64",45 087,,7 383
Frontenac,10 597,"38,55",16 889,"61,45",27 486,"97,73",638,"2,27",28 124,"83,33",33 751,,6 292
Gaspé,8 948,"40,85",12 956,"59,15",21 904,"97,99",450,"2,01",22 354,"72,36",30 892,,4 008
Gatineau,16 508,"58,87",11 534,"41,13",28 042,"98,20",513,"1,80",28 555,"78,24",36 496,4 974,
Gouin,7 737,"33,80",15 155,"66,20",22 892,"97,75",527,"2,25",23 419,"82,43",28 410,,7 418
Groulx,15 642,"33,81",30 616,"66,19",46 258,"97,94",973,"2,06",47 231,"84,23",56 077,,14 974
Hochelaga-Maisonneuve,7 107,"28,90",17 484,"71,10",24 591,"97,07",743,"2,93",25 334,"77,12",32 848,,10 377
Hull,18 979,"56,44",14 649,"43,56",33 628,"98,46",527,"1,54",34 155,"77,46",44 094,4 330,
Iberville,13 895,"37,29",23 371,"62,71",37 266,"97,60",918,"2,40",38 184,"83,83",45 551,,9 476
Îles-de-la-Madeleine,3 680,"45,95",4 329,"54,05",8 009,"98,39",131,"1,61",8 140,"79,59",10 227,,649
Jacques-Cartier,33 272,"83,47",6 588,"16,53",39 860,"99,16",337,"0,84",40 197,"89,91",44 710,26 684,
Jeanne-Mance,20 974,"67,56",10 071,"32,44",31 045,"97,48",802,"2,52",31 847,"84,90",37 511,10 903,
Jean-Talon,14 760,"44,74",18 229,"55,26",32 989,"97,80",742,"2,20",33 731,"88,43",38 144,,3 469
Johnson,10 317,"38,18",16 702,"61,82",27 019,"97,50",693,"2,50",27 712,"81,73",33 908,,6 385
Joliette,10 086,"29,68",23 892,"70,32",33 978,"96,96",1 065,"3,04",35 043,"84,06",41 686,,13 806
Jonquière,7 926,"22,69",27 001,"77,31",34 927,"97,54",881,"2,46",35 808,"83,57",42 848,,19 075
Kamouraska-Témiscouata,8 985,"37,88",14 734,"62,12",23 719,"97,65",571,"2,35",24 290,"72,38",33 561,,5 749
Labelle,11 372,"32,50",23 620,"67,50",34 992,"97,81",782,"2,19",35 774,"79,40",45 053,,12 248
Lac-Saint-Jean,7 302,"23,86",23 306,"76,14",30 608,"98,62",427,"1,38",31 035,"83,00",37 390,,16 004
LaFontaine,19 751,"53,80",16 961,"46,20",36 712,"98,06",726,"1,94",37 438,"84,22",44 454,2 790,
La Peltrie,15 563,"32,31",32 598,"67,69",48 161,"97,41",1 281,"2,59",49 442,"87,37",56 590,,17 035
La Pinière,20 526,"56,87",15 568,"43,13",36 094,"98,51",547,"1,49",36 641,"86,95",42 142,4 958,
Laporte,18 444,"55,57",14 749,"44,43",33 193,"98,32",568,"1,68",33 761,"87,31",38 669,3 695,
La Prairie,13 238,"32,61",27 351,"67,39",40 589,"98,17",758,"1,83",41 347,"87,36",47 332,,14 113
L'Assomption,11 677,"29,22",28 287,"70,78",39 964,"97,92",848,"2,08",40 812,"86,39",47 244,,16 610
Laurier,15 559,"63,12",9 092,"36,88",24 651,"97,71",578,"2,29",25 229,"81,91",30 801,6 467,
Laval-des-Rapides,12 960,"40,69",18 887,"59,31",31 847,"97,00",985,"3,00",32 832,"84,63",38 797,,5 927
Laviolette,9 527,"35,34",17 432,"64,66",26 959,"97,61",659,"2,39",27 618,"79,98",34 531,,7 905
Les Chutes-de-la-Chaudière,11 309,"28,56",28 293,"71,44",39 602,"98,15",746,"1,85",40 348,"85,16",47 380,,16 984
Lévis,9 837,"32,55",20 387,"67,45",30 224,"98,29",526,"1,71",30 750,"83,53",36 812,,10 550
Limoilou,11 706,"37,81",19 254,"62,19",30 960,"97,62",755,"2,38",31 715,"80,82",39 240,,7 548
Lotbinière,9 145,"39,23",14 165,"60,77",23 310,"97,83",518,"2,17",23 828,"81,75",29 147,,5 020
Louis-Hébert,12 714,"37,49",21 195,"62,51",33 909,"98,33",577,"1,67",34 486,"81,87",42 121,,8 481
Marguerite-Bourgeoys,20 397,"67,58",9 786,"32,42",30 183,"98,63",418,"1,37",30 601,"86,54",35 361,10 611,
Marie-Victorin,8 183,"30,14",18 964,"69,86",27 147,"96,40",1 014,"3,60",28 161,"82,80",34 012,,10 781
Marquette,16 562,"52,82",14 796,"47,18",31 358,"98,03",630,"1,97",31 988,"84,44",37 882,1 766,
Maskinongé,11 812,"36,31",20 716,"63,69",32 528,"97,89",701,"2,11",33 229,"81,07",40 986,,8 904
Masson,10 924,"24,42",33 818,"75,58",44 742,"97,56",1 120,"2,44",45 862,"84,48",54 287,,22 894
Matane,6 927,"34,19",13 336,"65,81",20 263,"98,47",314,"1,53",20 577,"75,29",27 331,,6 409
Matapédia,6 615,"34,13",12 768,"65,87",19 383,"97,70",456,"2,30",19 839,"76,81",25 830,,6 153
Mégantic-Compton,10 217,"46,76",11 633,"53,24",21 850,"98,17",408,"1,83",22 258,"79,67",27 937,,1 416
Mercier,10 076,"37,12",17 072,"62,88",27 148,"97,42",718,"2,58",27 866,"82,16",33 918,,6 996
Mille-Îles,14 367,"42,52",19 425,"57,48",33 792,"97,83",748,"2,17",34 540,"88,03",39 235,,5 058
Montmagny-L'Islet,9 586,"42,17",13 145,"57,83",22 731,"97,60",558,"2,40",23 289,"74,73",31 166,,3 559
Montmorency,12 272,"30,68",27 728,"69,32",40 000,"98,06",793,"1,94",40 793,"81,41",50 107,,15 456
Mont-Royal,19 884,"82,19",4 310,"17,81",24 194,"98,24",434,"1,76",24 628,"83,81",29 385,15 574,
Nelligan,33 394,"73,81",11 849,"26,19",45 243,"98,97",473,"1,03",45 716,"88,05",51 921,21 545,
Nicolet-Yamaska,9 503,"36,33",16 652,"63,67",26 155,"97,44",687,"2,56",26 842,"83,82",32 024,,7 149
Notre-Dame-de-Grâce,24 978,"80,11",6 201,"19,89",31 179,"98,78",386,"1,22",31 565,"86,14",36 644,18 777,
Orford,16 552,"46,34",19 164,"53,66",35 716,"97,99",732,"2,01",36 448,"82,74",44 051,,2 612
Outremont,14 607,"53,74",12 575,"46,26",27 182,"97,97",564,"2,03",27 746,"85,20",32 566,2 032,
Papineau,13 379,"51,26",12 721,"48,74",26 100,"98,22",474,"1,78",26 574,"79,00",33 638,658,
Pointe-aux-Trembles,10 159,"32,76",20 854,"67,24",31 013,"97,86",677,"2,14",31 690,"84,42",37 540,,10 695
Pontiac,21 044,"74,45",7 222,"25,55",28 266,"99,02",279,"0,98",28 545,"82,05",34 788,13 822,
Portneuf,9 932,"36,29",17 436,"63,71",27 368,"96,88",882,"3,12",28 250,"82,22",34 360,,7 504
Prévost,13 490,"33,88",26 332,"66,12",39 822,"97,30",1 104,"2,70",40 926,"82,34",49 701,,12 842
Richelieu,11 510,"35,93",20 521,"64,07",32 031,"97,53",810,"2,47",32 841,"84,62",38 811,,9 011
Richmond,10 749,"42,85",14 339,"57,15",25 088,"97,65",604,"2,35",25 692,"82,99",30 959,,3 590
Rimouski,10 363,"31,42",22 616,"68,58",32 979,"98,64",456,"1,36",33 435,"79,22",42 203,,12 253
Rivière-du-Loup,8 272,"37,72",13 657,"62,28",21 929,"97,56",548,"2,44",22 477,"76,74",29 288,,5 385
Robert-Baldwin,28 184,"82,59",5 941,"17,41",34 125,"98,84",400,"1,16",34 525,"87,50",39 455,22 243,
Roberval,10 697,"33,58",21 162,"66,42",31 859,"98,62",447,"1,38",32 306,"79,46",40 656,,10 465
Rosemont,12 417,"40,47",18 262,"59,53",30 679,"97,10",916,"2,90",31 595,"82,98",38 074,,5 845
Rousseau,12 944,"34,90",24 147,"65,10",37 091,"97,92",786,"2,08",37 877,"80,05",47 317,,11 203
Rouyn-Noranda—Témiscamingue,11 446,"36,78",19 671,"63,22",31 117,"98,24",559,"1,76",31 676,"77,57",40 835,,8 225
Saguenay,7 482,"28,40",18 861,"71,60",26 343,"96,97",822,"3,03",27 165,"76,75",35 392,,11 379
Sainte-Anne,14 557,"52,37",13 241,"47,63",27 798,"96,65",963,"3,35",28 761,"80,50",35 728,1 316,
Saint-François,14 260,"42,98",18 920,"57,02",33 180,"97,05",1 007,"2,95",34 187,"80,29",42 579,,4 660
Saint-Henri,10 924,"43,07",14 437,"56,93",25 361,"97,28",708,"2,72",26 069,"81,09",32 148,,3 513
Saint-Hyacinthe,13 655,"38,78",21 554,"61,22",35 209,"97,43",929,"2,57",36 138,"81,79",44 184,,7 899
Saint-Jean,16 157,"38,56",25 744,"61,44",41 901,"97,89",902,"2,11",42 803,"85,02",50 343,,9 587
Saint-Laurent,26 558,"76,30",8 250,"23,70",34 808,"98,53",521,"1,47",35 329,"85,23",41 450,18 308,
Saint-Louis,18 244,"62,31",11 035,"37,69",29 279,"97,80",659,"2,20",29 938,"76,55",39 110,7 209,
Sainte-Marie—Saint-Jacques,8 942,"29,24",21 640,"70,76",30 582,"97,65",737,"2,35",31 319,"77,15",40 597,,12 698
Saint-Maurice,9 927,"35,37",18 137,"64,63",28 064,"97,75",647,"2,25",28 711,"84,28",34 067,,8 210
Salaberry-Soulanges,13 677,"34,89",25 519,"65,11",39 196,"97,26",1 105,"2,74",40 301,"85,57",47 095,,11 842
Sauvé,13 575,"51,43",12 821,"48,57",26 396,"97,72",617,"2,28",27 013,"80,49",33 560,754,
Shefford,15 757,"40,50",23 150,"59,50",38 907,"97,00",1 204,"3,00",40 111,"84,85",47 273,,7 393
Sherbrooke,13 059,"41,30",18 564,"58,70",31 623,"97,89",683,"2,11",32 306,"81,68",39 553,,5 505
Taillon,12 505,"31,37",27 356,"68,63",39 861,"96,96",1 248,"3,04",41 109,"84,12",48 867,,14 851
Taschereau,6 987,"32,63",14 423,"67,37",21 410,"97,24",608,"2,76",22 018,"79,71",27 621,,7 436
Terrebonne,10 548,"27,88",27 289,"72,12",37 837,"97,49",974,"2,51",38 811,"85,43",45 428,,16 741
Trois-Rivières,12 262,"39,42",18 841,"60,58",31 103,"97,77",709,"2,23",31 812,"81,85",38 867,,6 579
Ungava,6 444,"37,92",10 549,"62,08",16 993,"98,32",290,"1,68",17 283,"60,10",28 758,,4 105
Vachon,14 721,"35,86",26 333,"64,14",41 054,"96,53",1 476,"3,47",42 530,"85,03",50 019,,11 612
Vanier,12 177,"33,63",24 035,"66,37",36 212,"97,95",759,"2,05",36 971,"82,84",44 627,,11 858
Vaudreuil,20 354,"51,31",19 317,"48,69",39 671,"97,98",819,"2,02",40 490,"87,14",46 468,1 037,
Verchères,13 255,"32,91",27 024,"67,09",40 279,"96,85",1 308,"3,15",41 587,"86,50",48 077,,13 769
Verdun,12 770,"53,66",11 026,"46,34",23 796,"97,92",505,"2,08",24 301,"85,04",28 577,1 744,
Viau,15 803,"60,84",10 173,"39,16",25 976,"97,51",663,"2,49",26 639,"80,88",32 938,5 630,
Viger,18 964,"62,09",11 579,"37,91",30 543,"97,99",626,"2,01",31 169,"85,88",36 293,7 385,
Vimont,18 146,"40,04",27 170,"59,96",45 316,"97,97",941,"2,03",46 257,"87,76",52 710,,9 024
Westmount,21 361,"81,44",4 867,"18,56",26 228,"98,89",294,"1,11",26 522,"83,97",31 585,16 494,
